Original,WithoutStopwords,Lemmatized,Stemmed
a,aap,aap,a
aap,aaron,aaron,aap
aaron,ab,ab,aaron
ab,abandoned,abandoned,ab
abandoned,abandoning,abandoning,abandon
abandoning,abating,abating,abat
abating,abbvie,abbvie,abbvi
abbvie,abcs,abc,abc
abcs,abdomen,abdomen,abdomen
abdomen,abduction,abduction,abduct
abduction,abilities,ability,abil
abilities,ability,abiltity,abilt
ability,abiltity,able,abl
abiltity,able,abort,abort
able,abort,abortion,abroad
abort,abortion,abroad,abscess
abortion,abortions,abscess,absenc
abortions,abroad,absence,absent
about,abs,absent,abstain
above,abscesses,abstain,abstin
abroad,absences,abstaining,abt
abs,absent,abstinence,abund
abscesses,abstain,abt,abus
absences,abstaining,abundance,abusedeterr
absent,abstinence,abuse,ac
abstain,abt,abused,aca
abstaining,abundance,abusedeterrent,academ
abstinence,abuse,abusing,academyaward
abt,abused,abusive,accent
abundance,abusedeterrent,ac,accept
abuse,abusing,aca,access
abused,abusive,academic,accessori
abusedeterrent,ac,academyawards,accid
abusing,aca,accent,accident
abusive,academic,acceptance,accomplic
ac,academyawards,accepted,accomplish
aca,accent,accepting,accord
academic,acceptance,access,account
academyawards,accepted,accessory,accur
accent,accepting,accident,accuraci
acceptance,access,accidental,accus
accepted,accessory,accidentally,accutan
accepting,accident,accomplice,acetaminophen
access,accidental,accomplished,achiev
accessory,accidentally,according,acid
accident,accomplice,account,acl
accidental,accomplished,accuracy,acn
accidentally,according,accurate,acquir
accomplice,account,accuse,across
accomplished,accounts,accused,act
according,accuracy,accutane,actavi
account,accurate,acetaminophen,action
accounts,accuse,achieve,activ
accuracy,accused,acid,actor
accurate,accutane,acl,actress
accuse,acetaminophen,acne,actual
accused,achieve,acquired,acupunctur
accutane,acid,across,acut
acetaminophen,acids,act,ad
achieve,acl,actavis,add
acid,acne,action,addict
acids,acquired,activates,addit
acl,across,active,address
acne,act,activity,adequ
acquired,actavis,actor,adhd
across,action,actress,adhdlik
act,actions,actual,adjust
actavis,activates,actually,admir
action,active,acupuncture,admiss
actions,activities,acute,admit
activates,activity,ad,adolesc
active,actor,add,adopt
activities,actress,added,ador
activity,actual,addict,adrian
actor,actually,addicted,adult
actress,acupuncture,addiction,adulthood
actual,acute,addictive,adults
actually,ad,additive,advanc
acupuncture,add,address,advantag
acute,added,addressing,advertis
ad,addict,adequate,advertisingâon
add,addicted,adhd,advic
added,addiction,adhdlike,advis
addict,addictive,adjust,advisor
addicted,addicts,adjusting,advoc
addiction,additives,admire,aerob
addictive,address,admission,aerosmith
addicts,addressing,admit,affair
additives,adds,admits,affect
address,adequate,admitted,affecâ
addressing,adhd,admitting,affluenza
adds,adhdlike,adolescent,afford
adequate,adjust,adopt,afghanistan
adhd,adjusting,adoption,afraid
adhdlike,admire,adorable,africa
adjust,admissions,adrian,african
adjusting,admit,adult,aft
admire,admits,adulthood,afterlif
admissions,admitted,adultsized,aftermath
admit,admitting,advance,afternoon
admits,adolescents,advanced,afterschool
admitted,adopt,advantage,afterwork
admitting,adoption,advertising,agav
adolescents,adorable,advertisingâon,age
adopt,adrian,advice,agenc
adoption,ads,advised,agencywid
adorable,adult,adviser,ageproof
adrian,adulthood,advises,agerel
ads,adults,advisor,agespecif
adult,adultsized,advocate,aggress
adulthood,advanced,aeds,ago
adults,advances,aerobic,agon
adultsized,advantage,aerosmith,agre
advanced,advertising,affair,aha
advances,advertisingâon,affect,ahchoo
advantage,advice,affected,ahcjsa
advertising,advised,affecting,ahead
advertisingâon,advisers,affection,ahemâyour
advice,advises,affective,aid
advised,advisor,affecâ,aidsfre
advisers,advocate,affluenza,ail
advises,advocates,afford,ailment
advisor,aeds,affordable,aim
advocate,aerobic,afghanistan,air
