id,tokens,slots,intent
train-01081,BOS show me the flights from washington dc to san francisco with a stopover in denver EOS,O O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O,atis_flight
train-02462,BOS what's the latest flight i can get from dallas to boston EOS,O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00663,BOS how many cities are served by lufthansa with first class flights EOS,O O O O O O O B-airline_name O B-class_type I-class_type O O,atis_quantity
train-02928,BOS what are the fares for all flights between washington and columbus EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-00454,BOS how many seats in a 734 EOS,O O O O O O B-aircraft_code O,atis_capacity
train-00855,BOS show me ground transportation in san francisco EOS,O O O O O O B-city_name I-city_name O,atis_ground_service
train-01579,BOS what flight leaves dallas for atlanta on august twenty seventh in the evening EOS,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day O,atis_flight
train-04044,BOS show me the flights from washington to boston EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03734,BOS could you show me all the flights from oakland to salt lake city EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O,atis_flight
train-02277,BOS show me the flights before 11 am on august second from boston to denver on delta EOS,O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O B-airline_name O,atis_flight
train-04012,BOS i would like flights from ontario to tacoma EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00672,BOS how many first class flights does delta airlines have EOS,O O O B-class_type I-class_type O O B-airline_name I-airline_name O O,atis_quantity
train-02656,BOS what's the cheapest flight from pittsburgh to san francisco on friday EOS,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O,atis_flight
train-00646,BOS i would like a nonstop flight from memphis to las vegas on march second EOS,O O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O,atis_flight
train-03058,BOS give me american airlines from milwaukee to phoenix on saturday and sunday EOS,O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_name O,atis_flight
train-01686,BOS find travel arrangements for a round trip flight from boston to pittsburgh arriving after 8 pm EOS,O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O,atis_flight
train-02331,BOS hi i need to go from newark to nashville on american airlines leaving around 630 pm EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O,atis_flight
train-03518,BOS does midwest express have any flights from montreal to detroit EOS,O O B-airline_name O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00350,BOS list distance from airports to downtown in new york EOS,O O O O O O O O B-city_name I-city_name O,atis_distance
train-03323,BOS list early morning flights from cincinnati to tampa EOS,O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03778,BOS show flights from memphis to las vegas EOS,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-04085,BOS show me the flights from boston to atlanta EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-00792,BOS i want to depart washington april twentieth to atlanta least expensive fare EOS,O O O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number O B-toloc.city_name B-cost_relative I-cost_relative O O,atis_flight
train-00902,BOS what does fare code f mean EOS,O O O O O B-fare_basis_code O O,atis_abbreviation
train-02337,BOS what is the first flight after 12 noon from washington for denver EOS,O O O O B-flight_mod O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-01749,BOS list airlines flying from seattle to salt lake city EOS,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O,atis_airline
train-02967,BOS how much does it cost to fly from boston to baltimore on a saturday EOS,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O,atis_airfare
train-02330,BOS eastern flies from atlanta to denver what type of aircraft do you use before 6 pm EOS,O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O,atis_flight
train-02573,BOS show me the cheapest flights round trip from new york to san jose EOS,O O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O,atis_flight
train-01249,BOS how do you travel from san francisco airport to downtown san francisco EOS,O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name O,atis_flight
train-01987,BOS what is the cheapest coach flight between dallas and baltimore leaving august tenth EOS,O O O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O,atis_flight
train-01722,BOS i need to fly from dallas to san francisco and be in san francisco by 4 pm EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O,atis_flight
train-04137,BOS what flights are there from denver to atlanta EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_flight
train-03082,BOS give me the flights from phoenix to milwaukee on american airlines EOS,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O,atis_flight
train-02539,BOS what're the lowest one way fares from denver to atlanta EOS,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O,atis_airfare
train-01126,BOS what aircraft is used on delta flight 1222 from kansas city to salt lake city EOS,O O O O O O B-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O,atis_aircraft
train-00637,BOS show me all the flights from denver to baltimore arriving may tenth EOS,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number O,atis_flight
train-00814,BOS list all the takeoffs and landings at general mitchell international EOS,O O O O O O O O B-airport_name I-airport_name I-airport_name O,atis_flight
train-03480,BOS show me flights from san francisco to pittsburgh on a sunday EOS,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O,atis_flight
